namn:beskrivning:spelserieID:spelseriegrupp:plattform
Donkey Kong NES:Donkey Kong är en fiktiv gorilla som förekommer i ett stort antal TV-spel utvecklade eller utgivna av Nintendo. Hans debut var i arkadspelet Donkey Kong år 1981.:1:Donkey Kong:NES
Donkey Kong Arcade:Donkey Kong är en fiktiv gorilla som förekommer i ett stort antal TV-spel utvecklade eller utgivna av Nintendo. Hans debut var i arkadspelet Donkey Kong år 1981.:2:Donkey Kong:Atari Arcade
Final Fantasy PS1:Final Fantasy är en japansk datorrollspelsserie. Det första spelet i serien släpptes till Famicom och sedan dess har de allra flesta spelen släppts huvudsakligen till olika spelkonsoler.:3:Final Fantasy:PS1
Final Fantasy PS3:Final Fantasy  är en japansk datorrollspelsserie. Det första spelet i serien släpptes till Famicom och sedan dess har de allra flesta spelen släppts huvudsakligen till olika spelkonsoler.:4:Final Fantasy:PS3
Space Invaders:Spelarens måste skjuta alla angriparna innan någon av dem hunnit ned till botten av skärmen. Ju färre fiender som återstår, desto snabbare rör de sig, dock fortfarande med samma inbördes positioner som de hade när hela formationen först visade sig. Fienderna kan ibland skjuta tillbaka, men inte sikta. I vissa varianter av spelet har spelaren skydd i form av hus, men förstörs gradvis när de blir träffade av rymdmonstren eller spelarens skott.:5::Atari Arcade
