namn
Adventure
Sports
Shoot em up
Action
Maze
Platform
Space simulation
Puzzle
Role-playing
Racing
Run and gun
Beat em up
Survival
Horror
Visual novel
MMORPG
Strategy
Real-time Strategy
Fighting
MMO
Turn-based Strategy
First-person Shooter
